Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Percent Electric Vehicles
March 31 2020,Wahkiakum,WA,Passenger,6,6,12,2939,0.41
March 31 2020,Wahkiakum,WA,Truck,0,0,0,1687,0.00
March 31 2020,Walla Walla,WA,Passenger,69,60,129,36597,0.35
March 31 2020,Walla Walla,WA,Truck,0,0,0,13820,0.00
March 31 2020,Whatcom,WA,Passenger,1091,518,1609,152572,1.04
March 31 2020,Whatcom,WA,Truck,3,0,3,43544,0.01
March 31 2020,Whitman,WA,Passenger,41,49,90,22798,0.39
March 31 2020,Whitman,WA,Truck,0,0,0,8661,0.00
March 31 2020,Yakima,WA,Passenger,133,127,260,167640,0.15
March 31 2020,Yakima,WA,Truck,0,0,0,60624,0.00
April 30 2020,Montgomery,AL,Passenger,0,1,1,19,5.00
April 30 2020,Maricopa,AZ,Passenger,0,1,1,175,0.57
April 30 2020,Los Angeles,CA,Passenger,0,1,1,238,0.42
April 30 2020,Placer,CA,Passenger,1,0,1,23,4.17
April 30 2020,San Diego,CA,Passenger,1,3,4,779,0.51
April 30 2020,El Paso,CO,Passenger,2,0,2,145,1.36
April 30 2020,New London,CT,Passenger,0,1,1,65,1.52
April 30 2020,Banks,GA,Passenger,0,1,1,0,100.00
April 30 2020,Cobb,GA,Passenger,0,1,1,10,9.09
April 30 2020,Dekalb,GA,Passenger,1,0,1,25,3.85
April 30 2020,Fulton,GA,Passenger,0,1,1,23,4.17
April 30 2020,Monroe,IL,Passenger,1,0,1,1,50.00
April 30 2020,Leavenworth,KS,Passenger,0,1,1,42,2.33
April 30 2020,Anne Arundel,MD,Passenger,0,1,1,196,0.51
April 30 2020,Cumberland,NC,Passenger,0,1,1,169,0.59
April 30 2020,Elko,NV,Passenger,0,1,1,0,100.00
April 30 2020,Oklahoma,OK,Passenger,0,1,1,29,3.33
April 30 2020,Washington,OR,Passenger,0,1,1,100,0.99
April 30 2020,Denton,TX,Passenger,1,0,1,13,7.14
April 30 2020,Guadalupe,TX,Passenger,1,0,1,17,5.56
April 30 2020,Nueces,TX,Passenger,1,0,1,22,4.35
April 30 2020,Arlington,VA,Passenger,0,1,1,57,1.72
April 30 2020,Fairfax,VA,Passenger,1,3,4,256,1.54
April 30 2020,Virginia Beach City,VA,Passenger,1,0,1,161,0.62
April 30 2020,,WA,Passenger,0,0,0,69,0.00
April 30 2020,,WA,Truck,0,0,0,18,0.00
April 30 2020,Adams,WA,Passenger,7,7,14,12918,0.11
April 30 2020,Adams,WA,Truck,0,0,0,5277,0.00
April 30 2020,Asotin,WA,Passenger,14,12,26,12621,0.21
April 30 2020,Asotin,WA,Truck,0,0,0,6748,0.00
April 30 2020,Benton,WA,Passenger,349,326,675,135662,0.50
April 30 2020,Benton,WA,Truck,0,0,0,42939,0.00
April 30 2020,Chelan,WA,Passenger,243,87,330,55035,0.60
April 30 2020,Chelan,WA,Truck,0,0,0,22769,0.00
April 30 2020,Clallam,WA,Passenger,238,177,415,51154,0.80
April 30 2020,Clallam,WA,Truck,1,0,1,22129,0.00
